TrackedTotal,Untagged,UObject,CriWare,EngineMisc,Audio,Audio/AudioMixer,EngineMisc/FMsgLogf,Audio/Wwise,Audio/Wwise/Wwise Resource Loader
354.42,6.25,102.96,135.5,4.15,53.7,9.51,0.13,42.12,0.1
354.76,6.49,103.07,135.5,4.2,53.69,9.46,0.14,42.12,0.1
354.61,6.39,103.02,135.5,4.14,53.74,9.44,0.16,42.12,0.1
354.72,6.42,103.04,135.5,4.2,53.73,9.47,0.14,42.12,0.1
354.51,6.32,103.04,135.5,4.09,53.69,9.49,0.16,42.12,0.1
354.67,6.45,103.01,135.5,4.11,53.73,9.5,0.15,42.12,0.1
354.4,6.19,103.07,135.5,4.07,53.7,9.52,0.13,42.12,0.1
354.46,6.22,103.04,135.5,4.12,53.7,9.49,0.18,42.12,0.1
354.61,6.39,103.0,135.5,4.13,53.71,9.5,0.16,42.12,0.1
354.46,6.29,102.93,135.5,4.12,53.73,9.52,0.16,42.12,0.1
354.49,6.33,103.04,135.5,4.09,53.68,9.46,0.16,42.12,0.1
354.39,6.31,102.95,135.5,4.09,53.72,9.47,0.12,42.12,0.1
354.9,6.52,103.04,135.5,4.14,53.78,9.56,0.14,42.12,0.1
354.72,6.53,103.02,135.5,4.11,53.71,9.5,0.12,42.12,0.1
354.33,6.24,102.95,135.5,4.06,53.71,9.49,0.16,42.12,0.1
354.22,6.07,103.03,135.5,4.02,53.71,9.51,0.16,42.12,0.1
354.39,6.23,103.03,135.5,4.09,53.72,9.44,0.16,42.12,0.1
354.3,6.21,103.03,135.5,4.05,53.66,9.46,0.18,42.12,0.1
354.62,6.47,103.03,135.5,4.08,53.76,9.45,0.12,42.12,0.1
354.66,6.48,102.99,135.5,4.1,53.74,9.49,0.14,42.12,0.1
354.39,6.19,103.05,135.5,4.11,53.69,9.47,0.16,42.12,0.1
354.38,6.23,102.99,135.5,4.09,53.71,9.48,0.16,42.12,0.1
354.33,6.13,102.97,135.5,4.23,53.69,9.47,0.13,42.12,0.1
354.53,6.37,103.05,135.5,4.06,53.72,9.43,0.18,42.12,0.1
354.72,6.34,103.07,135.5,4.18,53.71,9.51,0.19,42.12,0.1
354.66,6.47,103.05,135.5,4.11,53.72,9.43,0.16,42.12,0.1
354.51,6.43,103.01,135.5,4.09,53.68,9.46,0.13,42.12,0.1
354.54,6.45,102.92,135.5,4.15,53.7,9.44,0.16,42.12,0.1
354.4,6.13,103.1,135.5,4.1,53.74,9.45,0.16,42.12,0.1
354.32,6.27,102.92,135.5,4.08,53.69,9.49,0.15,42.12,0.1
354.82,6.5,103.05,135.5,4.21,53.63,9.52,0.18,42.12,0.1
354.44,6.28,103.13,135.5,4.01,53.71,9.43,0.15,42.12,0.1
354.42,6.12,103.03,135.5,4.11,53.78,9.46,0.2,42.12,0.1
354.71,6.49,103.04,135.5,4.13,53.74,9.43,0.17,42.12,0.1
354.55,6.28,103.04,135.5,4.19,53.69,9.46,0.16,42.12,0.1
354.75,6.53,103.03,135.5,4.1,53.71,9.48,0.18,42.12,0.1
354.91,6.37,103.14,135.5,4.26,53.73,9.5,0.19,42.12,0.1
354.44,6.33,102.98,135.5,4.16,53.66,9.42,0.18,42.12,0.1
354.62,6.58,102.97,135.5,4.0,53.69,9.5,0.16,42.12,0.1
354.28,6.18,103.01,135.5,4.05,53.72,9.45,0.15,42.12,0.1
354.9,6.59,103.11,135.5,4.14,53.76,9.45,0.14,42.12,0.1
354.36,6.28,102.99,135.5,4.07,53.7,9.48,0.11,42.12,0.1
354.74,6.4,103.05,135.5,4.15,53.76,9.5,0.16,42.12,0.1
354.63,6.41,103.08,135.5,4.1,53.69,9.48,0.15,42.12,0.1
354.38,6.32,103.06,135.5,4.06,53.61,9.45,0.15,42.12,0.1
354.53,6.27,103.08,135.5,4.08,53.73,9.48,0.18,42.12,0.1
354.66,6.33,103.1,135.5,4.17,53.73,9.46,0.16,42.12,0.1
354.45,6.23,103.04,135.5,4.02,53.73,9.5,0.2,42.12,0.1
354.98,6.68,103.0,135.5,4.18,53.73,9.51,0.15,42.12,0.1
354.62,6.32,103.03,135.5,4.18,53.72,9.51,0.14,42.12,0.1
354.73,6.56,103.01,135.5,4.11,53.7,9.48,0.14,42.12,0.1
354.87,6.55,103.15,135.5,4.06,53.71,9.52,0.18,42.12,0.1
354.66,6.45,103.0,135.5,4.15,53.7,9.45,0.19,42.12,0.1
354.63,6.37,103.05,135.5,4.1,53.7,9.54,0.15,42.12,0.1
354.4,6.43,102.95,135.5,4.05,53.66,9.45,0.14,42.12,0.1
354.75,6.48,103.03,135.5,4.22,53.68,9.42,0.19,42.12,0.1
354.6,6.41,103.01,135.5,4.08,53.71,9.52,0.13,42.12,0.1
354.29,6.17,103.06,135.5,4.05,53.65,9.46,0.18,42.12,0.1
354.35,6.13,103.06,135.5,4.14,53.65,9.49,0.15,42.12,0.1
354.9,6.63,103.1,135.5,4.12,53.7,9.45,0.17,42.12,0.1
354.48,6.01,103.09,135.5,4.2,53.71,9.55,0.19,42.12,0.1
354.71,6.44,103.02,135.5,4.11,53.7,9.54,0.17,42.12,0.1
354.51,6.37,102.98,135.5,4.11,53.64,9.53,0.16,42.12,0.1
354.73,6.43,102.99,135.5,4.14,53.76,9.49,0.19,42.12,0.1
354.5,6.24,103.04,135.5,4.14,53.67,9.51,0.17,42.12,0.1
354.77,6.47,103.04,135.5,4.14,53.69,9.48,0.24,42.12,0.1
354.68,6.45,103.04,135.5,4.14,53.68,9.52,0.13,42.12,0.1
355.05,6.83,103.0,135.5,4.14,53.75,9.47,0.13,42.12,0.1
354.81,6.44,103.1,135.5,4.11,53.73,9.53,0.19,42.12,0.1
354.8,6.62,102.96,135.5,4.17,53.7,9.47,0.17,42.12,0.1
354.38,6.2,103.0,135.5,4.11,53.7,9.47,0.18,42.12,0.1
354.78,6.58,102.98,135.5,4.17,53.72,9.47,0.15,42.12,0.1
354.73,6.46,103.02,135.5,4.2,53.68,9.49,0.17,42.12,0.1
351.66,6.47,100.0,135.5,4.1,53.73,9.47,0.18,42.12,0.1
351.72,6.47,99.93,135.5,4.25,53.7,9.5,0.16,42.12,0.1
351.82,6.68,99.95,135.5,4.09,53.73,9.47,0.17,42.12,0.1
351.64,6.47,99.97,135.5,4.1,53.73,9.51,0.14,42.12,0.1
351.52,6.31,99.92,135.5,4.16,53.7,9.53,0.18,42.12,0.1
351.51,6.34,99.96,135.5,4.15,53.65,9.49,0.2,42.12,0.1
351.77,6.56,99.95,135.5,4.13,53.71,9.55,0.14,42.12,0.1
351.61,6.5,99.88,135.5,4.17,53.67,9.52,0.14,42.12,0.1
351.45,6.21,99.92,135.5,4.14,53.72,9.55,0.19,42.12,0.1
351.77,6.52,99.96,135.5,4.24,53.71,9.48,0.14,42.12,0.1
351.33,6.28,100.01,135.5,4.01,53.7,9.44,0.19,42.12,0.1
351.51,6.51,100.01,135.5,3.97,53.68,9.46,0.17,42.12,0.1
351.45,6.32,100.05,135.5,3.98,53.75,9.47,0.16,42.12,0.1
351.48,6.4,99.97,135.5,4.03,53.7,9.46,0.2,42.12,0.1
351.44,6.36,99.92,135.5,4.03,53.79,9.42,0.19,42.12,0.1
351.77,6.68,99.94,135.5,4.02,53.72,9.52,0.18,42.12,0.1
351.23,6.32,99.94,135.5,3.97,53.73,9.43,0.13,42.12,0.1
351.58,6.45,99.92,135.5,4.07,53.72,9.51,0.19,42.12,0.1
351.92,6.7,99.96,135.5,4.11,53.73,9.55,0.15,42.12,0.1
351.35,6.27,99.97,135.5,4.01,53.75,9.46,0.17,42.12,0.1
351.62,6.49,99.89,135.5,4.1,53.75,9.5,0.17,42.12,0.1
351.29,6.17,100.0,135.5,4.05,53.66,9.48,0.21,42.12,0.1
351.57,6.46,99.85,135.5,4.12,53.74,9.51,0.17,42.12,0.1
351.17,6.15,99.93,135.5,4.04,53.73,9.45,0.14,42.12,0.1
351.41,6.27,100.0,135.5,4.02,53.72,9.48,0.2,42.12,0.1
351.58,6.36,99.98,135.5,4.05,53.77,9.52,0.19,42.12,0.1
351.46,6.38,99.93,135.5,3.99,53.77,9.49,0.19,42.12,0.1
351.27,6.09,100.04,135.5,4.03,53.74,9.44,0.2,42.12,0.1
351.31,6.15,99.92,135.5,4.08,53.7,9.53,0.21,42.12,0.1
351.28,6.37,99.85,135.5,4.05,53.68,9.45,0.16,42.12,0.1
351.3,6.23,99.97,135.5,4.01,53.74,9.49,0.15,42.12,0.1
351.13,6.08,99.86,135.5,4.02,53.76,9.51,0.19,42.12,0.1
350.0,6.28,99.9,135.5,4.05,53.66,9.49,0.17,40.86,0.1
350.24,6.27,99.98,135.5,4.05,53.75,9.56,0.17,40.86,0.1
350.12,6.32,99.92,135.5,4.05,53.71,9.51,0.15,40.86,0.1
350.16,6.37,99.98,135.5,4.03,53.66,9.48,0.18,40.86,0.1
350.1,6.36,99.89,135.5,3.97,53.73,9.51,0.18,40.86,0.1
350.01,6.18,99.99,135.5,3.98,53.75,9.49,0.17,40.86,0.1
349.93,6.23,99.86,135.5,4.04,53.71,9.49,0.15,40.86,0.1
350.34,6.44,100.01,135.5,4.06,53.69,9.5,0.2,40.86,0.1
350.07,6.22,99.92,135.5,4.05,53.77,9.48,0.18,40.86,0.1
350.09,6.24,100.02,135.5,3.98,53.7,9.5,0.2,40.86,0.1
349.8,6.08,99.91,135.5,4.01,53.75,9.47,0.13,40.86,0.1
350.04,6.3,100.04,135.5,3.96,53.67,9.43,0.18,40.86,0.1
350.07,6.36,99.9,135.5,3.95,53.73,9.52,0.16,40.86,0.1
349.72,6.01,99.86,135.5,4.02,53.73,9.47,0.18,40.86,0.1
348.46,6.15,99.95,135.5,4.08,52.13,9.49,0.19,40.86,0.1
348.39,6.1,100.01,135.5,4.02,52.15,9.47,0.18,40.86,0.1
348.71,6.43,99.99,135.5,4.11,52.08,9.47,0.18,40.86,0.1
348.25,6.03,100.01,135.5,4.01,52.12,9.46,0.18,40.86,0.1
348.5,6.3,99.99,135.5,4.02,52.07,9.52,0.14,40.86,0.1
348.51,6.42,99.91,135.5,3.97,52.07,9.53,0.16,40.86,0.1
348.57,6.35,99.99,135.5,4.0,52.09,9.49,0.2,40.86,0.1
348.38,6.25,99.96,135.5,3.96,52.12,9.47,0.17,40.86,0.1
348.48,6.37,99.92,135.5,3.94,52.16,9.44,0.2,40.86,0.1
348.72,6.48,99.96,135.5,3.96,52.17,9.51,0.19,40.86,0.1
348.5,6.31,99.95,135.5,4.02,52.1,9.47,0.2,40.86,0.1
348.21,5.99,100.02,135.5,3.98,52.12,9.46,0.18,40.86,0.1
344.61,6.5,99.93,131.44,3.99,52.14,9.49,0.17,40.86,0.1
344.53,6.39,99.92,131.44,4.04,52.13,9.48,0.18,40.86,0.1
344.31,6.32,99.92,131.44,3.94,52.1,9.45,0.19,40.86,0.1
344.19,6.03,100.05,131.44,4.02,52.11,9.45,0.14,40.86,0.1
344.47,6.29,99.92,131.44,4.06,52.11,9.5,0.2,40.86,0.1
344.42,6.2,100.02,131.44,4.07,52.1,9.47,0.17,40.86,0.1
344.27,6.15,99.9,131.44,4.05,52.1,9.51,0.18,40.86,0.1
344.48,6.32,99.98,131.44,4.02,52.11,9.5,0.18,40.86,0.1
344.4,6.26,99.97,131.44,3.99,52.1,9.52,0.18,40.86,0.1
344.39,6.27,100.02,131.44,4.02,52.08,9.47,0.15,40.86,0.1
344.49,6.45,100.01,131.44,4.1,52.14,9.21,0.18,40.86,0.1
344.31,6.38,99.96,131.44,4.03,52.13,9.23,0.19,40.86,0.1
344.1,6.27,99.93,131.44,4.02,52.17,9.19,0.14,40.86,0.1
344.24,6.25,100.04,131.44,4.05,52.12,9.24,0.16,40.86,0.1
344.07,6.28,99.92,131.44,4.02,52.1,9.16,0.2,40.86,0.1
344.05,6.31,99.84,131.44,4.03,52.09,9.18,0.2,40.86,0.1
344.16,6.44,99.86,131.44,4.01,52.11,9.16,0.19,40.86,0.1
343.94,6.2,99.87,131.44,4.0,52.13,9.19,0.17,40.86,0.1
344.52,6.57,99.98,131.44,4.07,52.1,9.2,0.2,40.86,0.1
344.28,6.44,100.07,131.44,3.92,52.07,9.23,0.16,40.86,0.1
343.71,5.95,99.85,131.44,4.05,52.09,9.2,0.18,40.86,0.1
344.13,6.37,99.92,131.44,4.0,52.11,9.19,0.16,40.86,0.1
344.27,6.52,99.96,131.44,3.93,52.13,9.16,0.18,40.86,0.1
344.22,6.42,100.03,131.44,3.97,52.07,9.17,0.16,40.86,0.1
344.16,6.3,99.92,131.44,4.02,52.12,9.22,0.2,40.86,0.1
344.31,6.35,99.99,131.44,4.03,52.12,9.24,0.19,40.86,0.1
344.25,6.39,99.94,131.44,4.06,52.1,9.2,0.17,40.86,0.1
344.57,6.48,100.09,131.44,4.06,52.09,9.25,0.21,40.86,0.1
343.89,6.16,99.96,131.44,3.95,52.09,9.18,0.17,40.86,0.1
344.19,6.28,99.98,131.44,4.04,52.12,9.2,0.18,40.86,0.1
344.55,6.62,99.96,131.44,4.06,52.15,9.2,0.17,40.86,0.1
344.34,6.38,99.94,131.44,4.04,52.15,9.26,0.2,40.86,0.1
344.54,6.6,100.01,131.44,4.05,52.08,9.21,0.2,40.86,0.1
344.52,6.82,99.9,131.44,3.93,52.11,9.16,0.21,40.86,0.1
344.0,6.3,99.86,131.44,3.98,52.05,9.24,0.19,40.86,0.1
344.14,6.2,99.95,131.44,4.09,52.12,9.27,0.13,40.86,0.1
344.25,6.34,100.0,131.44,4.01,52.13,9.2,0.18,40.86,0.1
344.56,6.55,99.93,131.44,4.14,52.16,9.18,0.22,40.86,0.1
344.37,6.57,99.97,131.44,3.96,52.06,9.24,0.18,40.86,0.1
344.62,6.73,99.9,131.44,4.1,52.08,9.27,0.15,40.86,0.1
344.33,6.38,100.01,131.44,4.0,52.12,9.24,0.2,40.86,0.1
344.34,6.46,99.99,131.44,4.07,52.07,9.16,0.2,40.86,0.1
344.17,6.28,99.96,131.44,4.01,52.12,9.23,0.17,40.86,0.1
343.94,6.01,99.97,131.44,4.03,52.13,9.22,0.18,40.86,0.1
344.15,6.39,99.89,131.44,4.06,52.08,9.18,0.17,40.86,0.1
344.07,6.22,99.89,131.44,4.0,52.12,9.25,0.2,40.86,0.1
344.4,6.49,99.95,131.44,4.07,52.08,9.22,0.19,40.86,0.1
344.08,6.11,99.99,131.44,4.01,52.16,9.25,0.17,40.86,0.1
344.19,6.29,99.99,131.44,4.04,52.12,9.18,0.19,40.86,0.1
344.16,6.44,99.94,131.44,3.9,52.1,9.22,0.18,40.86,0.1
344.34,6.46,100.0,131.44,4.01,52.08,9.18,0.22,40.86,0.1
344.46,6.4,100.03,131.44,4.09,52.13,9.22,0.21,40.86,0.1
344.69,6.68,99.96,131.44,4.06,52.16,9.26,0.19,40.86,0.1
344.53,6.64,99.98,131.44,4.07,52.09,9.17,0.19,40.86,0.1
344.16,6.3,99.95,131.44,4.03,52.1,9.17,0.21,40.86,0.1
344.63,6.65,99.96,131.44,4.11,52.09,9.24,0.19,40.86,0.1
344.66,6.67,99.97,131.44,4.04,52.16,9.21,0.21,40.86,0.1
344.35,6.39,100.05,131.44,4.0,52.06,9.25,0.22,40.86,0.1
344.42,6.42,100.01,131.44,4.07,52.15,9.19,0.18,40.86,0.1
344.42,6.41,100.0,131.44,4.08,52.1,9.21,0.23,40.86,0.1
344.28,6.32,99.94,131.44,4.06,52.11,9.23,0.22,40.86,0.1
344.18,6.34,99.92,131.44,4.01,52.11,9.22,0.2,40.86,0.1
344.5,6.62,99.98,131.44,4.05,52.12,9.16,0.18,40.86,0.1
344.59,6.49,100.03,131.44,4.1,52.09,9.3,0.2,40.86,0.1
344.39,6.34,100.05,131.44,4.06,52.15,9.22,0.19,40.86,0.1
343.97,6.28,99.84,131.44,3.96,52.15,9.17,0.18,40.86,0.1
344.3,6.31,100.09,131.44,4.0,52.09,9.22,0.21,40.86,0.1
344.31,6.4,99.99,131.44,4.0,52.14,9.23,0.17,40.86,0.1
344.5,6.56,100.01,131.44,3.99,52.11,9.24,0.19,40.86,0.1
344.04,6.3,99.88,131.44,3.93,52.12,9.24,0.19,40.86,0.1
344.57,6.57,99.95,131.44,4.13,52.16,9.21,0.17,40.86,0.1
344.31,6.46,100.01,131.44,3.99,52.1,9.16,0.21,40.86,0.1
344.31,6.46,99.91,131.44,3.99,52.14,9.23,0.19,40.86,0.1
344.25,6.59,99.82,131.44,3.94,52.13,9.16,0.22,40.86,0.1
344.57,6.56,99.98,131.44,4.08,52.11,9.25,0.19,40.86,0.1
344.12,6.23,99.96,131.44,4.03,52.13,9.19,0.19,40.86,0.1
344.26,6.28,100.04,131.44,4.02,52.12,9.23,0.18,40.86,0.1
344.25,6.41,99.96,131.44,4.02,52.08,9.19,0.2,40.86,0.1
344.41,6.5,99.96,131.44,4.06,52.1,9.2,0.2,40.86,0.1
344.54,6.65,100.0,131.44,4.01,52.09,9.19,0.21,40.86,0.1
344.34,6.46,100.02,131.44,3.94,52.11,9.24,0.2,40.86,0.1
344.59,6.7,99.93,131.44,3.97,52.16,9.2,0.24,40.86,0.1
344.3,6.34,100.02,131.44,3.97,52.14,9.24,0.21,40.86,0.1
344.2,6.37,99.94,131.44,4.05,52.08,9.2,0.18,40.86,0.1
344.34,6.41,99.97,131.44,4.08,52.11,9.21,0.18,40.86,0.1
344.38,6.33,100.0,131.44,4.11,52.13,9.22,0.21,40.86,0.1
344.52,6.63,100.01,131.44,3.95,52.14,9.22,0.18,40.86,0.1
343.98,6.04,99.98,131.44,4.07,52.1,9.19,0.21,40.86,0.1
344.23,6.38,99.92,131.44,4.01,52.08,9.24,0.22,40.86,0.1
344.62,6.63,99.88,131.44,4.18,52.12,9.21,0.22,40.86,0.1
344.42,6.41,99.96,131.44,4.11,52.14,9.23,0.18,40.86,0.1
344.71,6.62,100.02,131.44,4.12,52.13,9.22,0.22,40.86,0.1
344.79,6.79,99.99,131.44,4.08,52.09,9.23,0.21,40.86,0.1
344.47,6.48,99.98,131.44,4.06,52.17,9.2,0.19,40.86,0.1
344.53,6.64,99.97,131.44,4.02,52.12,9.19,0.2,40.86,0.1
344.78,6.83,99.99,131.44,4.01,52.13,9.23,0.21,40.86,0.1
344.33,6.53,99.92,131.44,4.0,52.1,9.2,0.19,40.86,0.1
344.55,6.46,100.01,131.44,4.07,52.15,9.26,0.21,40.86,0.1
344.71,6.61,100.01,131.44,4.12,52.14,9.22,0.23,40.86,0.1
344.54,6.65,99.95,131.44,4.02,52.13,9.18,0.22,40.86,0.1
344.34,6.47,99.99,131.44,4.0,52.09,9.2,0.2,40.86,0.1
344.19,6.4,99.89,131.44,3.96,52.15,9.19,0.21,40.86,0.1
341.65,6.74,96.89,131.44,4.05,52.14,9.25,0.19,40.86,0.1
341.39,6.44,96.88,131.44,4.1,52.15,9.24,0.19,40.86,0.1
341.61,6.66,96.95,131.44,4.1,52.12,9.22,0.17,40.86,0.1
341.45,6.52,96.87,131.44,4.11,52.12,9.23,0.21,40.86,0.1
341.68,6.76,96.93,131.44,4.06,52.11,9.21,0.22,40.86,0.1
341.29,6.36,96.86,131.44,4.04,52.19,9.24,0.2,40.86,0.1
341.15,6.36,96.77,131.44,4.1,52.1,9.23,0.19,40.86,0.1
341.39,6.62,96.87,131.44,3.98,52.09,9.24,0.21,40.86,0.1
341.18,6.32,96.89,131.44,4.02,52.11,9.21,0.23,40.86,0.1
341.44,6.51,96.89,131.44,4.13,52.1,9.2,0.22,40.86,0.1
341.47,6.73,96.89,131.44,3.86,52.16,9.24,0.21,40.86,0.1
340.98,6.23,96.86,131.44,3.92,52.08,9.26,0.25,40.86,0.1
341.38,6.56,96.87,131.44,3.95,52.1,9.25,0.26,40.86,0.1
341.41,6.68,96.83,131.44,3.92,52.13,9.27,0.2,40.86,0.1
341.23,6.5,96.78,131.44,3.98,52.16,9.22,0.2,40.86,0.1
341.18,6.36,96.88,131.44,4.0,52.14,9.19,0.22,40.86,0.1
341.01,6.28,96.85,131.44,3.94,52.17,9.19,0.19,40.86,0.1
341.13,6.19,96.94,131.44,3.99,52.13,9.26,0.22,40.86,0.1
340.86,6.33,96.78,131.44,3.87,52.12,9.16,0.21,40.86,0.1
341.11,6.28,96.9,131.44,3.91,52.15,9.26,0.22,40.86,0.1
341.14,6.25,96.99,131.44,4.04,52.08,9.2,0.2,40.86,0.1
341.22,6.39,96.88,131.44,4.02,52.07,9.28,0.19,40.86,0.1
341.23,6.56,96.89,131.44,3.86,52.15,9.22,0.17,40.86,0.09
341.2,6.38,96.91,131.44,3.92,52.13,9.24,0.24,40.86,0.09
341.43,6.53,96.91,131.44,3.93,52.15,9.29,0.23,40.86,0.09
341.29,6.57,96.87,131.44,3.94,52.1,9.21,0.22,40.86,0.09
341.04,6.24,96.84,131.44,3.98,52.16,9.21,0.22,40.86,0.09
341.2,6.37,96.92,131.44,4.01,52.14,9.2,0.16,40.86,0.09
340.88,6.27,96.79,131.44,3.92,52.12,9.19,0.2,40.86,0.09
340.95,6.11,96.93,131.44,3.98,52.13,9.21,0.21,40.86,0.09
341.13,6.39,96.87,131.44,3.95,52.13,9.2,0.19,40.86,0.09
340.83,6.18,96.89,131.44,3.92,52.1,9.18,0.18,40.86,0.09
339.75,6.41,96.86,131.44,3.84,52.11,9.21,0.19,39.59,0.09
339.74,6.11,96.96,131.44,3.97,52.13,9.23,0.21,39.59,0.09
339.86,6.37,96.9,131.44,3.95,52.11,9.19,0.21,39.59,0.09
