TrackedTotal,Untagged,UObject,EngineMisc,Audio,Audio/AudioMixer,Textures,RenderTargets,RHI
578.65,8.36,139.94,5.38,61.0,11.16,209.94,95.11,47.77
580.4,8.69,140.11,5.48,61.01,11.29,210.68,95.21,47.92
579.04,8.74,140.0,5.45,60.99,11.21,209.56,95.06,48.03
579.57,8.77,139.89,5.34,61.0,11.17,210.64,94.96,47.8
579.68,8.47,139.88,5.63,61.03,11.25,210.51,94.77,48.14
578.86,8.77,140.13,5.55,60.96,11.19,209.17,95.09,48.0
579.0,8.56,140.14,5.56,61.02,11.19,209.81,95.0,47.72
579.33,8.39,139.98,5.5,61.05,11.3,210.57,94.6,47.93
580.81,8.86,140.01,5.55,61.01,11.16,210.88,95.36,47.97
579.65,8.81,139.88,5.5,61.06,11.22,210.42,94.76,48.0
579.11,8.48,140.09,5.57,61.07,11.19,209.87,94.61,48.23
578.91,8.57,140.02,5.53,61.05,11.18,209.58,94.86,48.1
579.07,8.57,139.9,5.52,60.99,11.16,210.35,94.77,47.81
578.76,8.36,140.04,5.53,61.01,11.22,209.86,94.96,47.79
579.09,8.84,139.92,5.61,61.03,11.18,209.88,94.66,47.98
579.86,8.85,140.07,5.53,61.0,11.24,209.96,95.17,48.04
580.37,8.62,139.94,5.46,60.99,11.21,210.51,95.45,48.17
580.8,8.69,140.06,5.54,60.99,11.2,210.98,95.07,48.28
580.02,8.72,139.98,5.55,61.12,11.18,210.59,94.61,48.29
579.17,8.74,139.84,5.52,61.0,11.27,210.08,94.77,47.95
579.25,8.43,140.11,5.52,61.06,11.24,209.62,95.11,48.16
579.48,8.8,140.11,5.46,60.98,11.19,210.41,94.45,48.08
579.67,8.47,139.99,5.53,61.08,11.16,210.91,94.67,47.86
579.35,8.84,140.05,5.45,61.0,11.14,210.58,94.55,47.74
579.65,8.49,140.07,5.51,61.02,11.26,210.18,95.08,48.04
579.52,8.45,140.07,5.49,60.94,11.25,209.83,95.69,47.8
579.59,8.7,140.17,5.59,61.06,11.26,210.25,94.66,47.89
580.53,8.7,140.07,5.62,61.07,11.21,210.66,95.29,47.92
579.54,8.73,140.0,5.46,60.97,11.25,210.2,94.87,48.05
579.34,8.54,140.07,5.53,61.06,11.26,210.03,94.65,48.21
579.72,8.76,140.0,5.51,60.96,11.21,209.74,95.51,48.02
581.54,8.78,139.95,5.56,61.04,11.2,211.38,95.69,47.94
579.32,8.96,140.13,5.53,61.01,11.18,209.64,95.17,47.71
579.48,8.76,140.08,5.5,61.07,11.23,209.59,95.15,48.09
579.55,8.61,139.88,5.53,61.03,11.24,210.17,95.06,48.03
579.13,8.46,139.98,5.52,61.05,11.2,209.98,95.0,47.94
580.36,8.42,140.1,5.62,61.07,11.21,210.6,95.15,48.2
580.11,8.8,139.91,5.48,61.01,11.21,210.62,95.25,47.84
579.62,8.89,139.97,5.54,61.02,11.25,209.48,95.55,47.92
579.09,8.56,140.25,5.56,60.97,11.16,209.71,94.89,47.99
579.21,8.79,140.01,5.56,61.01,11.17,209.65,95.09,47.94
580.22,8.71,140.12,5.51,61.1,11.17,210.48,95.02,48.11
580.67,8.89,140.16,5.61,61.05,11.21,210.3,95.36,48.09
580.35,8.92,139.96,5.41,60.98,11.23,209.91,95.77,48.18
579.74,8.29,140.06,5.47,61.08,11.18,210.2,95.37,48.1
579.84,8.95,140.2,5.57,61.03,11.25,209.53,95.29,48.01
579.7,8.8,140.07,5.48,61.05,11.28,209.72,95.32,47.97
579.59,8.65,140.23,5.48,61.04,11.24,209.44,95.43,48.09
580.38,8.65,139.99,5.5,61.04,11.26,210.17,95.78,48.0
579.3,8.76,140.18,5.48,60.94,11.18,210.17,94.55,48.03
579.45,8.66,140.04,5.57,61.06,11.18,209.6,95.23,48.1
578.97,8.57,140.01,5.59,60.93,11.24,210.31,94.28,48.05
580.56,8.62,140.09,5.54,61.06,11.22,210.63,95.34,48.07
579.1,8.56,140.03,5.6,61.02,11.18,209.58,95.22,47.91
579.9,9.04,140.03,5.45,61.05,11.28,209.94,94.89,48.23
579.13,8.78,140.08,5.54,61.03,11.23,210.36,94.25,47.86
580.28,9.22,139.9,5.61,61.06,11.25,210.1,95.05,48.09
579.12,8.85,139.98,5.59,61.02,11.19,209.42,95.12,47.95
580.04,8.89,140.1,5.62,61.03,11.29,209.88,95.04,48.19
579.33,8.56,140.12,5.5,61.04,11.21,209.87,94.87,48.16
579.59,8.73,140.07,5.59,61.1,11.26,210.02,94.79,48.03
579.95,8.79,140.06,5.51,61.05,11.2,210.04,95.04,48.26
580.2,8.65,140.07,5.57,60.97,11.23,210.89,94.82,48.0
580.13,8.69,140.12,5.61,61.0,11.24,210.0,95.3,48.16
578.84,8.87,139.93,5.49,61.05,11.3,209.25,95.03,47.92
579.36,8.88,140.0,5.42,61.07,11.2,210.15,94.54,48.09
580.41,8.52,140.04,5.65,60.99,11.23,210.98,95.11,47.89
580.07,8.85,140.06,5.57,61.11,11.25,210.03,95.18,48.03
579.96,8.9,139.88,5.53,61.03,11.17,209.89,95.54,48.02
579.78,8.68,139.94,5.53,61.04,11.14,209.96,95.34,48.16
579.39,8.66,140.04,5.41,60.97,11.18,210.4,94.79,47.93
580.83,8.89,140.13,5.55,61.07,11.26,209.96,95.49,48.49
577.92,8.29,140.01,5.51,61.0,11.29,209.36,94.64,47.82
579.43,8.8,139.99,5.54,60.99,11.19,209.78,95.07,48.07
580.39,9.13,140.09,5.54,61.01,11.17,210.08,95.29,48.07
580.0,8.29,140.02,5.34,61.08,11.28,210.38,95.5,48.11
580.31,8.97,140.12,5.57,61.04,11.2,209.82,95.63,47.95
580.18,8.92,140.03,5.55,60.99,11.21,209.97,95.44,48.07
579.44,8.53,139.96,5.56,61.0,11.28,210.14,95.02,47.95
580.24,8.92,140.16,5.53,61.08,11.28,209.73,95.24,48.31
580.12,9.02,140.15,5.54,61.01,11.26,210.07,95.13,47.94
579.52,8.58,139.97,5.55,61.05,11.16,210.35,94.85,48.01
579.04,8.68,140.08,5.56,61.06,11.17,209.53,95.03,47.93
578.54,8.83,140.02,5.57,59.06,11.27,210.27,95.6,47.91
577.82,9.02,140.1,5.56,59.25,11.24,209.58,95.26,47.82
576.67,8.72,139.98,5.65,59.16,11.19,209.59,95.68,46.69
575.86,8.82,140.12,5.5,59.18,11.21,209.79,94.74,46.49
577.12,8.7,140.15,5.52,59.26,11.27,210.81,94.95,46.47
575.9,8.84,139.97,5.64,59.25,11.29,209.27,95.19,46.45
576.9,9.05,140.06,5.53,59.21,11.22,209.89,95.29,46.64
576.77,8.86,140.15,5.6,59.22,11.2,210.11,95.03,46.6
577.36,8.77,139.97,5.55,59.23,11.21,210.71,95.31,46.6
577.78,8.84,140.0,5.53,59.25,11.28,211.1,95.31,46.48
569.86,8.68,140.1,5.6,59.26,11.28,203.62,94.65,46.66
570.58,8.65,140.04,5.57,59.2,11.23,204.1,95.3,46.5
570.62,9.09,139.93,5.45,59.17,11.2,203.78,95.39,46.61
570.73,9.18,140.03,5.55,59.19,11.27,203.78,95.16,46.57
569.16,8.49,140.19,5.48,59.2,10.96,203.97,94.52,46.34
569.76,8.97,140.22,5.62,59.19,10.83,203.04,94.99,46.9
570.41,9.03,140.0,5.65,59.16,10.88,203.81,95.2,46.68
569.9,8.62,139.98,5.66,59.21,10.94,204.06,94.81,46.62
569.36,8.51,140.02,5.4,59.13,10.89,203.41,95.35,46.65
570.37,8.49,140.2,5.35,59.2,10.87,204.06,95.29,46.9
569.47,8.99,140.12,5.4,59.2,10.9,202.97,95.11,46.77
570.16,8.94,140.17,5.32,59.2,10.91,203.88,95.08,46.65
570.29,8.43,140.14,5.52,59.23,10.85,204.51,95.13,46.49
569.16,8.32,139.95,5.45,59.23,10.9,203.73,95.07,46.51
568.71,8.77,139.98,5.4,59.29,10.91,203.35,94.69,46.33
568.84,8.73,140.0,5.44,59.18,10.87,203.13,94.95,46.54
570.14,8.87,140.01,5.35,59.21,10.86,204.04,95.1,46.7
570.31,8.41,140.0,5.32,59.21,10.87,204.31,95.5,46.69
569.88,8.77,140.01,5.25,59.21,10.85,203.81,95.28,46.69
569.7,8.48,140.11,5.39,59.15,10.93,203.61,95.52,46.52
568.41,8.75,140.07,5.37,59.15,10.85,202.88,94.66,46.68
569.89,8.62,140.16,5.41,59.2,10.9,203.91,94.97,46.72
569.96,9.01,140.08,5.38,59.14,10.88,203.5,95.7,46.26
569.22,8.72,140.0,5.41,59.19,10.87,203.53,94.86,46.64
567.77,8.57,140.07,5.43,59.17,10.95,204.66,92.0,46.91
565.63,8.67,139.94,5.3,59.19,10.89,202.95,92.15,46.56
566.11,8.62,139.87,5.44,59.24,10.87,203.01,92.83,46.22
566.37,8.41,140.11,5.36,59.16,10.86,203.96,92.03,46.48
567.11,9.03,140.14,5.42,59.23,10.91,203.66,92.4,46.33
567.03,8.97,140.07,5.45,59.18,10.93,203.59,92.35,46.51
566.27,8.61,140.03,5.45,59.18,10.95,203.99,91.65,46.42
567.19,8.79,139.95,5.39,59.22,10.89,203.98,92.23,46.74
566.84,9.06,140.15,5.4,59.19,10.89,203.37,92.07,46.72
567.15,8.9,140.1,5.44,59.17,10.9,203.56,92.44,46.65
567.48,8.6,140.09,5.3,59.19,10.9,203.88,92.75,46.79
566.61,8.64,140.06,5.33,59.13,10.86,203.94,92.13,46.52
566.72,8.32,140.02,5.37,59.22,10.95,204.1,92.13,46.61
567.56,8.82,139.97,5.31,59.08,10.9,203.57,92.99,46.93
567.26,8.91,140.08,5.37,59.24,10.92,204.03,92.02,46.69
567.3,8.92,140.02,5.37,59.23,10.91,204.33,91.83,46.69
563.23,8.81,135.83,5.39,59.27,10.91,203.88,92.65,46.49
562.84,8.74,136.0,5.38,59.29,10.86,203.81,92.22,46.54
562.44,8.47,135.86,5.45,59.24,10.9,203.74,92.32,46.45
563.31,8.74,135.67,5.42,59.18,10.99,203.55,92.91,46.86
561.58,8.55,135.82,5.38,59.29,10.96,203.39,91.82,46.37
562.63,8.78,135.78,5.37,59.15,10.9,203.71,92.18,46.74
562.42,8.53,135.85,5.39,59.13,10.88,204.09,91.87,46.69
562.13,8.79,135.75,5.39,59.28,10.81,203.42,92.34,46.36
563.17,8.95,135.9,5.54,59.23,10.88,203.83,92.07,46.78
562.15,8.76,135.84,5.3,59.13,10.89,203.77,91.89,46.57
563.57,8.75,135.83,5.33,59.15,10.88,204.76,92.46,46.41
563.32,8.87,135.88,5.33,59.23,10.89,204.23,92.24,46.66
562.97,9.05,135.86,5.41,59.17,10.92,204.22,91.86,46.48
562.75,8.67,135.86,5.41,59.17,10.86,204.33,91.88,46.57
562.63,8.8,135.85,5.36,59.28,10.91,203.6,92.3,46.53
563.27,9.0,135.87,5.45,59.29,10.89,204.56,91.74,46.47
562.91,8.83,135.9,5.41,59.21,10.86,203.95,92.31,46.43
563.02,8.3,135.89,5.45,59.2,10.97,203.85,92.64,46.73
562.52,8.56,135.96,5.46,59.24,10.93,203.27,92.44,46.65
562.37,8.86,135.83,5.26,59.18,10.87,203.67,92.06,46.65
561.85,8.63,135.89,5.43,59.12,10.92,202.99,92.33,46.55
562.55,9.0,136.07,5.32,59.09,10.84,203.75,91.87,46.61
562.8,9.08,135.87,5.41,59.2,10.87,203.59,92.28,46.5
562.37,8.6,135.87,5.39,59.24,10.95,203.68,92.15,46.49
561.77,8.51,135.77,5.39,59.21,10.91,203.18,91.93,46.86
563.33,8.65,135.81,5.32,59.24,10.91,204.23,92.43,46.74
562.49,8.64,135.86,5.46,59.24,10.94,204.17,91.65,46.52
563.44,9.03,135.91,5.32,59.26,10.92,204.72,91.89,46.38
562.97,8.52,135.92,5.44,59.21,10.89,204.71,91.93,46.35
562.8,8.88,135.9,5.31,59.22,10.94,203.96,92.09,46.51
564.03,9.01,135.94,5.39,59.2,10.83,204.39,92.64,46.62
563.37,8.89,135.79,5.5,59.2,10.87,204.01,92.47,46.63
562.89,8.82,135.91,5.54,59.14,10.9,203.67,92.28,46.63
562.72,8.7,135.87,5.3,59.25,10.92,203.74,92.27,46.66
563.33,9.11,135.88,5.35,59.19,10.89,204.2,92.24,46.45
565.34,8.69,135.85,5.37,59.19,10.83,205.93,92.66,46.84
563.02,8.93,135.8,5.53,59.19,10.82,204.47,91.7,46.58
563.08,8.71,135.78,5.39,59.15,10.9,204.01,92.48,46.65
562.56,8.38,135.9,5.46,59.2,10.88,204.13,92.1,46.51
563.3,8.69,135.92,5.42,59.23,10.87,204.13,92.4,46.66
563.12,8.72,135.87,5.33,59.18,10.86,203.84,92.4,46.92
563.24,8.72,135.87,5.29,59.25,10.91,204.27,92.47,46.46
562.93,8.62,135.82,5.36,59.19,10.95,203.81,92.73,46.44
562.1,8.88,135.92,5.54,59.15,10.91,203.39,91.84,46.48
563.67,8.9,135.88,5.41,59.26,10.96,204.13,92.55,46.56
563.08,8.7,135.85,5.46,59.22,10.89,204.2,92.23,46.53
562.51,8.7,135.95,5.31,59.24,10.92,203.82,92.11,46.46
563.58,8.55,135.93,5.38,59.24,10.96,204.05,92.86,46.6
563.77,8.82,135.76,5.45,59.17,10.9,204.38,92.46,46.85
562.94,9.04,135.88,5.33,59.19,10.9,203.87,92.13,46.59
563.2,9.04,135.8,5.4,59.25,10.89,203.67,92.54,46.6
562.55,8.65,135.89,5.35,59.28,10.93,203.54,92.24,46.66
563.01,9.17,135.63,5.45,59.21,10.94,203.77,92.13,46.71
563.68,8.7,135.9,5.43,59.18,10.92,204.67,92.07,46.82
562.92,8.57,135.94,5.44,59.28,10.89,203.8,92.35,46.65
562.63,8.51,135.87,5.45,59.18,10.84,204.08,92.07,46.61
562.37,8.57,135.79,5.39,59.22,10.9,203.74,92.3,46.46
563.38,8.85,136.04,5.46,59.19,10.9,203.7,92.52,46.72
562.45,8.73,135.97,5.37,59.22,10.91,203.46,92.29,46.49
563.31,8.66,135.84,5.44,59.17,10.91,203.95,92.85,46.48
562.48,8.62,135.86,5.28,59.2,10.97,203.65,92.26,46.64
563.77,8.57,135.72,5.36,59.19,10.88,204.54,92.66,46.85
563.29,8.62,135.92,5.54,59.24,10.84,203.85,92.55,46.72
563.5,9.0,135.77,5.44,59.22,10.86,203.88,92.72,46.61
563.8,9.16,135.94,5.44,59.25,10.88,203.82,92.85,46.47
563.29,9.17,135.97,5.35,59.18,10.95,204.09,91.73,46.84
563.81,8.94,135.88,5.34,59.2,10.85,204.65,92.34,46.61
562.18,8.7,135.8,5.39,59.24,10.86,203.39,92.23,46.57
563.27,8.67,135.98,5.4,59.25,10.92,204.05,92.3,46.7
562.28,8.96,135.88,5.52,59.15,10.94,203.13,92.14,46.55
563.31,8.76,135.89,5.47,59.23,10.84,204.52,92.1,46.5
562.44,8.89,135.81,5.41,59.18,10.84,203.86,91.93,46.52
562.61,9.2,135.9,5.41,59.25,10.88,203.17,92.29,46.52
562.67,8.86,135.87,5.45,59.29,10.93,203.28,92.54,46.45
563.27,9.27,135.78,5.33,59.11,10.91,204.32,92.12,46.43
561.95,8.59,135.99,5.29,59.19,10.88,203.08,92.17,46.76
563.38,8.91,136.03,5.45,59.22,10.94,204.06,92.06,46.72
562.56,8.89,135.97,5.41,59.21,10.91,203.7,91.97,46.49
562.83,8.63,135.96,5.33,59.25,10.9,203.82,92.2,46.75
562.97,8.99,136.03,5.28,59.22,10.84,203.58,92.37,46.66
563.13,9.14,135.8,5.46,59.19,10.88,203.44,92.64,46.57
562.63,9.27,135.8,5.38,59.17,10.99,203.68,91.91,46.43
563.4,8.92,135.86,5.43,59.17,10.89,204.21,92.26,46.67
563.11,8.45,135.91,5.39,59.18,10.87,203.77,92.62,46.9
562.96,8.93,135.87,5.41,59.19,10.89,204.13,91.91,46.62
563.53,8.99,135.81,5.37,59.23,10.91,203.8,92.65,46.77
563.2,8.79,135.89,5.4,59.21,10.94,204.23,92.14,46.59
563.71,8.89,135.88,5.44,59.19,10.93,204.13,92.48,46.76
562.61,8.75,135.96,5.39,59.17,10.88,203.65,92.2,46.6
562.37,8.82,135.89,5.39,59.19,10.96,203.45,92.41,46.26
564.04,9.05,135.74,5.45,59.19,10.94,204.4,92.75,46.51
562.97,9.13,135.92,5.45,59.19,10.89,203.52,92.23,46.64
563.64,8.6,136.02,5.34,59.24,10.9,204.18,92.57,46.78
563.16,8.75,135.89,5.41,59.27,10.93,203.94,92.35,46.6
562.37,8.54,135.97,5.38,59.17,10.95,203.7,92.04,46.63
563.51,9.23,135.85,5.41,59.26,10.85,204.14,92.23,46.53
564.31,9.04,135.94,5.5,59.24,10.91,204.61,92.21,46.86
562.8,8.46,135.83,5.43,59.22,10.91,204.24,91.85,46.85
563.36,8.85,135.87,5.54,59.28,10.89,204.0,92.41,46.52
563.82,8.81,135.87,5.43,59.21,10.89,204.74,92.47,46.39
562.21,8.72,135.93,5.4,59.23,10.95,203.1,92.52,46.35
563.27,9.08,135.83,5.41,59.22,10.93,203.38,92.7,46.71
563.4,9.08,135.78,5.42,59.22,11.0,203.7,92.56,46.64
563.66,8.93,135.93,5.43,59.24,10.89,204.65,92.1,46.51
563.4,8.75,135.93,5.35,59.22,10.92,204.41,92.16,46.66
562.26,8.75,135.9,5.4,59.24,10.92,203.08,92.53,46.44
563.23,8.89,135.97,5.37,59.19,10.95,203.72,92.39,46.74
562.42,8.79,135.88,5.48,59.19,10.97,203.28,92.27,46.57
562.61,8.88,135.92,5.3,59.19,10.92,203.92,92.02,46.46
563.44,9.0,135.87,5.42,59.2,10.87,204.39,92.12,46.57
561.54,8.58,135.88,5.32,57.43,10.88,204.43,92.45,46.56
560.84,8.74,135.92,5.44,57.37,10.92,204.08,91.69,46.68
559.4,8.89,136.08,5.39,57.41,10.96,203.73,91.58,45.36
560.46,9.21,135.96,5.31,57.4,10.85,203.9,92.49,45.35
560.33,9.07,135.94,5.47,57.37,10.87,204.29,92.12,45.21
561.21,8.9,135.96,5.27,57.44,10.94,205.12,92.42,45.16
559.6,8.98,135.71,5.42,57.42,10.86,203.35,92.75,45.1
560.16,8.88,135.92,5.46,57.39,10.87,204.74,91.98,44.92
559.97,9.12,135.97,5.5,57.39,10.96,204.07,91.78,45.18
560.14,8.99,135.91,5.32,57.39,10.9,204.36,92.2,45.06
553.87,9.16,135.9,5.39,57.33,10.9,197.74,92.08,45.37
554.06,8.64,135.82,5.48,57.36,10.97,198.35,92.28,45.16
553.94,8.75,135.87,5.49,57.41,10.87,197.82,92.45,45.3
553.31,8.97,135.83,5.5,57.33,10.86,197.33,92.38,45.11
553.83,9.02,135.98,5.57,57.36,10.64,197.88,92.3,45.09
554.87,9.4,136.02,5.39,57.37,10.59,198.22,92.6,45.28
553.54,8.56,136.06,5.44,57.51,10.61,197.65,92.49,45.23
552.22,8.92,135.83,5.4,57.42,10.57,196.62,92.23,45.24
552.9,8.65,135.85,5.14,57.43,10.57,197.6,92.48,45.17
552.56,8.72,135.84,5.25,57.36,10.55,197.7,91.82,45.31
553.5,9.02,135.82,5.14,57.41,10.59,197.63,92.61,45.29
552.4,8.85,135.82,5.22,57.32,10.61,197.41,92.29,44.86
552.75,8.36,135.86,5.17,57.38,10.59,198.32,91.93,45.15
552.25,8.99,135.97,5.28,57.41,10.62,196.47,92.16,45.34
553.32,8.98,135.85,5.21,57.34,10.61,197.71,92.6,45.04
552.53,8.74,135.99,5.15,57.41,10.54,197.71,92.06,44.94
553.96,8.36,136.01,5.31,57.41,10.57,198.71,92.41,45.17
553.21,8.66,135.93,5.22,57.37,10.56,197.65,92.55,45.27
553.29,8.78,136.0,5.23,57.36,10.61,197.89,92.3,45.12
552.99,8.89,135.8,5.2,57.36,10.6,197.73,92.03,45.38
552.94,8.34,135.86,5.33,57.38,10.59,197.71,92.27,45.47
553.06,8.54,135.92,5.27,57.38,10.62,198.55,91.87,44.9
552.37,8.92,135.92,5.22,57.41,10.51,197.11,92.15,45.13
552.24,9.0,136.02,5.14,57.37,10.56,197.33,91.96,44.85
550.81,8.79,135.83,5.41,57.46,10.56,198.04,89.43,45.29
550.17,8.93,135.86,5.38,57.46,10.59,197.8,89.06,45.09
550.17,8.8,135.9,5.35,57.4,10.6,197.53,89.47,45.12
550.73,8.9,135.87,5.22,57.38,10.58,197.63,89.78,45.36
550.62,8.74,135.82,5.23,57.37,10.53,198.13,89.8,44.99
549.91,8.81,135.87,5.28,57.41,10.6,197.91,89.07,44.96
548.98,8.47,135.89,5.21,57.41,10.59,197.32,89.24,44.85
550.87,8.86,136.02,5.2,57.39,10.52,197.79,89.7,45.38
550.25,8.47,135.83,5.35,57.38,10.57,197.65,89.66,45.35
550.42,8.86,135.97,5.26,57.41,10.6,197.91,89.26,45.15
549.7,8.63,136.01,5.19,57.4,10.65,197.51,89.3,45.0
549.76,8.8,135.87,5.32,57.37,10.54,197.07,89.47,45.32
550.22,8.54,135.93,5.23,57.4,10.61,198.01,88.9,45.61
550.35,8.63,135.96,5.14,57.37,10.54,197.95,89.61,45.16
551.01,8.8,135.94,5.19,57.37,10.53,198.39,89.77,45.01
549.7,8.88,135.92,5.23,57.4,10.54,197.02,89.33,45.38
545.56,8.95,131.66,5.28,57.37,10.61,197.64,89.02,45.02
546.08,8.51,131.76,5.27,57.37,10.59,197.56,89.87,45.14
545.26,8.44,131.68,5.34,57.44,10.57,197.48,89.52,44.8
545.22,8.54,131.71,5.25,57.38,10.6,196.91,89.66,45.15
544.75,8.53,131.73,5.24,57.47,10.59,197.15,89.05,45.0
546.45,9.06,131.78,5.34,57.42,10.59,197.82,89.06,45.38
546.2,9.01,131.87,5.32,57.36,10.57,197.43,89.58,45.05
545.79,8.55,131.65,5.25,57.44,10.54,197.27,89.76,45.31
546.81,9.09,131.72,5.28,57.37,10.65,198.4,89.11,45.18
547.47,9.01,131.6,5.24,57.48,10.64,198.87,89.42,45.22
545.42,8.43,131.83,5.2,57.41,10.65,197.66,88.98,45.27
545.02,8.55,131.72,5.4,57.42,10.56,196.94,89.24,45.19
545.67,8.43,131.69,5.23,57.4,10.56,197.89,89.38,45.1
