timestamp,vram_mb,ram_mb,heap_mb
93.0,3367.3,2156.6,601.7
93.5,3305.6,2116.9,600.9
94.0,3327.9,2153.2,594.8
94.5,3294.8,2107.1,619.0
95.0,3309.7,2157.0,592.5
95.5,3312.1,2128.6,608.2
96.0,3296.1,2117.4,601.6
96.5,3279.2,2134.9,623.3
97.0,3271.0,2146.0,597.6
97.5,3241.0,2131.9,600.1
98.0,3277.2,2154.1,598.7
98.5,3325.5,2132.6,612.5
99.0,3256.3,2157.9,596.5
99.5,3260.9,2155.6,606.3
100.0,3353.3,2146.8,590.5
100.5,3278.0,2140.4,615.3
101.0,3304.3,2153.5,608.8
101.5,3311.5,2162.8,599.8
102.0,3309.6,2194.2,626.5
102.5,3241.5,2173.0,603.4
103.0,3277.7,2175.0,625.4
103.5,3233.5,2218.5,611.3
104.0,3352.8,2168.3,635.2
104.5,3229.0,2168.9,627.6
105.0,3242.7,2174.6,610.9
105.5,3240.3,2141.6,612.7
106.0,3223.9,2154.1,628.9
106.5,3306.7,2154.1,621.1
107.0,3336.0,2178.5,622.9
107.5,3246.3,2163.3,638.2
108.0,3218.2,2170.8,618.9
108.5,3187.9,2191.0,628.2
109.0,3244.9,2187.8,637.7
109.5,3239.9,2168.5,637.2
110.0,3227.0,2159.6,628.4
110.5,3250.3,2197.0,628.0
111.0,3252.6,2191.0,614.4
111.5,3247.5,2144.6,622.1
112.0,3225.4,2171.7,636.8
112.5,3198.9,2182.6,633.1
113.0,3249.0,2196.1,636.1
113.5,3226.4,2200.0,646.7
114.0,3249.7,2188.7,625.3
114.5,3243.7,2196.0,635.7
115.0,3174.4,2186.8,640.9
115.5,3171.0,2173.3,632.9
116.0,3188.3,2182.8,655.1
116.5,3176.2,2189.6,650.8
117.0,3227.5,2189.8,645.5
117.5,3212.3,2154.0,661.4
118.0,3231.7,2185.1,629.4
118.5,3207.5,2195.4,645.2
119.0,3198.8,2189.9,649.9
119.5,3225.4,2191.8,638.0
120.0,3200.4,2207.8,651.0
120.5,3185.3,2177.7,637.8
121.0,3224.5,2167.9,656.7
121.5,3180.4,2194.8,661.3
122.0,3164.7,2218.3,654.3
122.5,3145.6,2238.0,634.0
123.0,3188.7,2221.1,643.7
123.5,3201.5,2177.4,659.9
124.0,3159.8,2203.4,655.4
124.5,3197.4,2214.4,629.2
125.0,3095.9,2214.1,669.4
125.5,3150.2,2222.5,659.3
126.0,3147.5,2194.7,650.6
126.5,3123.7,2215.5,669.6
127.0,3213.9,2223.9,653.8
127.5,3137.2,2233.3,654.6
128.0,3123.9,2201.9,666.0
128.5,3133.7,2212.3,681.1
129.0,3069.7,2166.4,680.4
129.5,3103.9,2209.3,668.7
130.0,3153.0,2212.5,670.6
130.5,3101.5,2203.9,674.8
131.0,3092.4,2228.8,655.2
131.5,3153.5,2225.6,675.1
132.0,3151.3,2182.8,662.3
132.5,3123.5,2233.6,673.7
133.0,3091.2,2211.9,669.1
133.5,3094.6,2241.5,677.3
134.0,3074.6,2207.4,674.4
134.5,3065.8,2234.9,643.4
135.0,3061.3,2229.8,676.8
135.5,3071.0,2242.8,682.3
136.0,3055.5,2240.5,681.3
136.5,3036.6,2234.1,676.7
137.0,3087.1,2209.8,695.0
137.5,3084.6,2212.2,682.6
138.0,3125.6,2231.3,684.8
138.5,3051.5,2244.1,691.7
139.0,3077.5,2233.3,685.8
139.5,3075.1,2259.3,674.1
140.0,3055.1,2242.4,579.6
140.5,3082.2,2229.9,600.1
141.0,3080.2,2244.9,613.4
141.5,3063.9,2256.3,603.2
142.0,3043.6,2259.5,615.6
142.5,3037.7,2291.8,610.0
143.0,3004.6,2242.1,622.3
143.5,3018.6,2255.3,607.3
144.0,3021.4,2266.5,615.9
144.5,3003.6,2258.8,617.2
145.0,3047.8,2250.5,628.0
145.5,3067.7,2230.8,596.8
146.0,3001.9,2252.8,610.2
146.5,3035.0,2242.8,624.2
147.0,2992.8,2231.0,632.1
147.5,3012.1,2250.8,619.9
148.0,2997.9,2247.1,615.5
148.5,3034.1,2280.9,626.9
149.0,2993.2,2282.5,628.9
149.5,3041.4,2253.7,617.5
150.0,3001.2,2267.8,625.3
150.5,2986.6,2237.1,634.7
151.0,2966.0,2265.6,642.7
151.5,3008.8,2284.7,632.1
152.0,3025.7,2294.5,626.0
152.5,3004.7,2265.0,626.0
153.0,3061.3,2301.5,633.0
153.5,3034.8,2251.4,627.1
154.0,2980.4,2258.0,631.1
154.5,2977.8,2298.4,619.5
155.0,2999.3,2318.9,644.0
155.5,2957.9,2296.6,620.5
156.0,3015.9,2287.2,628.5
156.5,2989.6,2245.3,634.7
157.0,2984.4,2250.1,654.5
157.5,2995.3,2294.3,631.3
158.0,3024.3,2285.8,629.7
158.5,2975.8,2272.1,631.8
159.0,2965.3,2296.8,654.8
159.5,3012.1,2299.1,611.0
160.0,2994.0,2316.9,630.0
160.5,2953.5,2302.0,668.2
161.0,2961.5,2325.1,647.7
161.5,2965.4,2301.9,631.6
162.0,2968.7,2300.7,643.2
162.5,2915.5,2325.5,645.2
163.0,2908.2,2285.9,653.9
163.5,2926.3,2363.0,664.7
164.0,2922.4,2315.5,651.1
164.5,2930.5,2316.9,642.7
165.0,2967.3,2321.0,656.9
165.5,2941.8,2349.3,642.9
166.0,2951.3,2328.9,640.5
166.5,2907.3,2282.1,634.1
167.0,2928.8,2343.6,636.9
167.5,2959.0,2309.9,644.5
168.0,2958.0,2320.1,642.6
168.5,2917.2,2293.7,658.4
169.0,2942.6,2331.0,644.2
169.5,3002.6,2308.7,625.7
170.0,2935.0,2325.0,647.6
170.5,2913.7,2318.6,654.2
171.0,2928.2,2364.0,653.7
171.5,2935.2,2366.4,675.9
172.0,2927.0,2328.9,655.5
172.5,2929.7,2330.5,671.3
173.0,2886.5,2323.0,663.2
173.5,2900.2,2353.9,663.9
174.0,2923.8,2326.4,656.8
174.5,2922.6,2325.8,665.5
175.0,2909.9,2355.1,659.3
175.5,2921.0,2326.0,669.6
176.0,2927.5,2337.2,666.4
176.5,2951.9,2307.6,660.3
177.0,2921.7,2354.6,680.5
177.5,2936.2,2380.6,675.8
178.0,2907.6,2357.4,667.9
178.5,2940.7,2373.5,674.8
179.0,2934.5,2328.6,673.4
179.5,2948.9,2351.5,666.4
180.0,2944.1,2179.1,676.7
180.5,2940.2,2194.7,670.7
181.0,2919.5,2215.9,668.4
181.5,2929.7,2203.8,662.5
182.0,2954.3,2174.7,676.0
182.5,2902.8,2177.9,686.2
183.0,2903.6,2177.9,674.5
183.5,2928.0,2216.6,707.5
184.0,2935.2,2249.3,692.1
184.5,2898.2,2236.5,697.1
185.0,2920.9,2172.6,693.0
185.5,2920.6,2240.2,704.4
186.0,2857.3,2231.7,678.9
186.5,2917.6,2183.3,662.1
187.0,2919.9,2209.4,684.1
187.5,2920.3,2238.7,695.1
188.0,2968.1,2229.0,691.9
188.5,2889.7,2193.1,694.1
189.0,2902.1,2232.7,705.4
189.5,2849.1,2179.0,696.9
190.0,2913.8,2218.5,702.0
190.5,2917.1,2247.0,685.5
191.0,2914.5,2225.9,684.8
191.5,2963.9,2216.8,712.8
192.0,2957.4,2245.8,698.6
192.5,2934.8,2248.7,692.3
193.0,2922.4,2256.7,693.2
193.5,2965.3,2249.2,693.8
194.0,2935.0,2254.6,694.1
194.5,2912.2,2248.9,689.3
195.0,2886.5,2240.8,688.0
195.5,2925.9,2238.5,701.9
196.0,2963.1,2233.3,698.9
196.5,3010.1,2215.0,716.8
197.0,2945.0,2221.4,709.5
197.5,2921.6,2236.1,710.2
198.0,2910.5,2247.8,701.0
198.5,2964.1,2273.1,708.1
199.0,2896.1,2244.7,713.8
199.5,2967.2,2266.8,718.3
200.0,2976.9,2269.6,711.1
200.5,2967.1,2244.6,723.7
201.0,2949.2,2262.4,713.9
201.5,2974.5,2246.9,722.6
202.0,2964.5,2279.4,710.7
202.5,2937.9,2267.0,698.4
203.0,3018.6,2231.7,720.1
203.5,2954.5,2260.0,725.6
204.0,2990.3,2291.0,725.0
204.5,2896.5,2255.6,724.3
205.0,3009.5,2269.5,717.5
205.5,3017.4,2272.7,713.8
206.0,2976.4,2242.3,728.3
206.5,2994.4,2274.5,728.0
207.0,2996.7,2237.6,719.0
207.5,2962.9,2254.2,736.6
208.0,3001.0,2289.5,717.6
208.5,2962.7,2276.4,721.5
209.0,2971.1,2264.4,744.6
209.5,3025.6,2280.7,737.8
210.0,3023.6,2271.8,646.4
210.5,2975.7,2274.5,653.8
211.0,2977.4,2288.6,653.3
211.5,2982.7,2262.2,625.2
212.0,3026.7,2278.8,644.5
212.5,2977.4,2273.0,654.0
213.0,3020.9,2248.8,651.8
213.5,3035.3,2263.3,658.8
214.0,3013.1,2314.4,668.5
214.5,3048.9,2291.9,654.9
215.0,3012.4,2259.0,648.4
215.5,3018.0,2255.9,663.1
216.0,2998.1,2285.8,657.5
216.5,3060.9,2320.5,660.1
217.0,3010.4,2286.8,659.7
217.5,3047.0,2317.9,685.9
218.0,3037.4,2300.0,642.0
218.5,3011.1,2303.7,661.4
219.0,3027.6,2268.8,666.2
219.5,3090.6,2315.5,659.3
220.0,3058.4,2291.3,677.0
220.5,3025.3,2316.5,677.0
221.0,3068.1,2284.2,669.3
221.5,3057.9,2305.3,668.0
222.0,3169.2,2310.0,670.5
222.5,3077.6,2301.2,671.5
223.0,3061.0,2313.6,672.6
223.5,3118.5,2301.4,672.4
224.0,3024.2,2295.0,677.7
224.5,3085.8,2341.4,683.6
225.0,3146.3,2331.5,664.7
225.5,3086.6,2296.5,667.4
226.0,3041.7,2324.4,661.3
226.5,3085.4,2299.4,688.4
227.0,3144.6,2291.8,683.1
227.5,3116.0,2337.4,686.6
228.0,3083.2,2283.9,668.1
228.5,3091.6,2337.8,701.1
229.0,3099.1,2315.4,678.1
229.5,3130.5,2317.5,686.8
230.0,3163.7,2331.2,694.5
230.5,3158.9,2335.9,677.0
231.0,3144.9,2309.0,682.3
231.5,3095.2,2341.1,690.5
232.0,3099.2,2330.3,718.2
232.5,3158.9,2304.1,693.5
233.0,3106.5,2327.1,707.5
233.5,3144.1,2359.4,704.4
234.0,3164.0,2366.5,696.9
234.5,3124.8,2348.6,684.2
235.0,3132.2,2311.7,705.6
235.5,3164.1,2346.6,680.9
236.0,3186.1,2355.0,712.8
236.5,3207.0,2353.8,699.7
237.0,3197.4,2356.2,672.1
237.5,3185.6,2349.0,696.1
238.0,3165.1,2341.6,706.9
238.5,3159.5,2332.1,698.9
239.0,3180.5,2307.5,709.4
239.5,3212.3,2353.5,694.6
240.0,3214.3,2351.7,690.9
240.5,3145.4,2360.4,704.2
241.0,3189.0,2323.7,706.1
241.5,3253.0,2364.7,703.2
242.0,3223.5,2394.1,719.9
242.5,3182.8,2355.8,700.0
243.0,3300.3,2354.3,712.5
243.5,3233.0,2362.9,711.0
244.0,3249.7,2398.6,695.6
244.5,3254.4,2338.8,698.9
245.0,3235.7,2364.6,713.1
245.5,3229.2,2345.8,733.7
246.0,3319.0,2352.1,720.6
246.5,3289.8,2363.3,698.4
247.0,3288.7,2392.4,685.5
247.5,3285.6,2402.8,724.8
248.0,3242.6,2377.0,717.4
248.5,3315.3,2361.7,730.7
249.0,3256.1,2420.4,711.4
249.5,3294.2,2363.2,724.6
250.0,3240.9,2361.6,730.5
250.5,3233.2,2338.8,718.4
251.0,3308.3,2403.4,719.5
251.5,3278.8,2396.1,725.0
252.0,3247.8,2426.4,731.0
252.5,3328.0,2351.5,726.4
253.0,3379.7,2409.7,737.1
253.5,3362.2,2383.2,723.7
254.0,3317.1,2399.1,715.9
254.5,3329.4,2351.3,749.9
255.0,3360.1,2414.9,725.0
255.5,3371.5,2402.5,726.2
256.0,3331.9,2387.2,732.1
256.5,3347.5,2402.2,734.4
257.0,3359.8,2375.2,730.7
257.5,3371.7,2380.2,735.3
258.0,3355.4,2383.7,736.0
258.5,3360.1,2357.2,739.0
259.0,3409.4,2412.7,714.6
259.5,3408.6,2420.6,757.9
260.0,3390.9,2234.0,738.5
260.5,3432.4,2256.2,746.7
261.0,3373.4,2245.2,728.0
261.5,3438.0,2258.3,738.0
262.0,3409.8,2240.4,736.9
262.5,3495.8,2236.6,759.2
263.0,3366.1,2276.5,739.5
263.5,3385.4,2255.5,753.9
264.0,3422.8,2298.4,740.7
264.5,3426.3,2260.2,743.6
265.0,3477.1,2242.0,746.5
265.5,3402.6,2286.3,762.7
266.0,3453.9,2275.6,731.9
266.5,3465.8,2278.8,738.5
267.0,3456.1,2289.3,733.1
267.5,3410.2,2253.7,742.6
268.0,3485.3,2265.5,746.3
268.5,3484.0,2265.8,739.2
269.0,3469.1,2244.7,748.9
269.5,3461.2,2266.5,737.0
270.0,3465.8,2299.7,747.8
270.5,3460.6,2279.0,770.9
271.0,3486.1,2248.6,763.8
271.5,3471.7,2245.6,762.6
272.0,3449.2,2311.3,751.6
272.5,3447.0,2277.4,747.1
273.0,3459.7,2267.6,752.0
273.5,3492.8,2276.3,763.9
274.0,3489.1,2253.5,773.9
274.5,3500.1,2312.7,775.1
275.0,3512.4,2277.6,773.3
275.5,3482.2,2314.1,760.5
276.0,3548.7,2289.0,769.0
276.5,3500.3,2317.8,766.5
277.0,3499.0,2295.6,768.6
277.5,3530.1,2308.8,791.9
278.0,3464.1,2307.4,754.8
278.5,3499.0,2306.7,771.0
279.0,3555.6,2302.5,786.3
279.5,3477.5,2292.1,760.4
280.0,3566.6,2336.3,689.6
280.5,3581.8,2281.1,691.6
281.0,3528.8,2300.6,695.6
281.5,3552.0,2302.0,682.7
282.0,3580.1,2311.0,705.6
282.5,3535.8,2295.7,707.2
283.0,3579.1,2311.8,706.5
283.5,3536.2,2303.4,693.6
284.0,3545.2,2276.4,704.1
284.5,3538.7,2309.4,695.1
285.0,3576.0,2288.5,701.7
285.5,3603.6,2277.1,727.4
286.0,3566.4,2315.7,707.8
286.5,3536.8,2324.0,695.8
287.0,3545.4,2326.0,710.4
287.5,3592.6,2328.1,696.0
288.0,3639.0,2279.3,698.4
288.5,3598.4,2292.0,700.9
289.0,3577.8,2360.0,707.8
289.5,3615.2,2300.8,722.5
290.0,3587.7,2335.2,719.8
290.5,3586.3,2310.5,720.1
291.0,3571.6,2327.1,704.8
291.5,3645.2,2314.1,711.3
292.0,3529.4,2339.2,720.3
292.5,3632.0,2332.0,712.2
293.0,3596.7,2321.5,716.6
293.5,3600.8,2310.7,724.7
294.0,3666.3,2338.4,717.7
294.5,3596.5,2310.0,724.4
295.0,3599.8,2344.0,738.9
295.5,3618.6,2389.3,722.2
296.0,3637.2,2365.0,736.6
296.5,3613.8,2353.6,731.3
297.0,3582.0,2338.8,711.9
297.5,3605.4,2303.0,716.5
298.0,3671.9,2316.6,720.1
298.5,3637.7,2369.9,720.8
299.0,3651.0,2329.7,729.3
299.5,3631.6,2332.8,737.2
