timestamp,fps,frame_time_ms
275.0,59.28,16.87
275.5,59.58,16.79
276.0,59.22,16.89
276.5,61.86,16.17
277.0,58.71,17.03
277.5,58.4,17.12
278.0,57.76,17.31
278.5,57.36,17.43
279.0,57.06,17.52
279.5,57.61,17.36
280.0,58.86,16.99
280.5,59.48,16.81
281.0,59.06,16.93
281.5,57.84,17.29
282.0,60.35,16.57
282.5,60.11,16.64
283.0,58.76,17.02
283.5,58.02,17.24
284.0,59.81,16.72
284.5,59.27,16.87
285.0,56.8,17.6
285.5,58.86,16.99
286.0,59.34,16.85
286.5,57.58,17.37
287.0,59.19,16.89
287.5,56.71,17.64
288.0,60.87,16.43
288.5,60.71,16.47
289.0,58.43,17.12
289.5,59.32,16.86
290.0,55.12,18.14
290.5,56.97,17.55
291.0,58.22,17.18
291.5,57.01,17.54
292.0,59.65,16.76
292.5,61.53,16.25
293.0,56.72,17.63
293.5,57.18,17.49
294.0,58.74,17.03
294.5,60.75,16.46
295.0,56.44,17.72
295.5,58.59,17.07
296.0,60.88,16.42
296.5,55.61,17.98
297.0,56.1,17.82
297.5,57.32,17.44
298.0,57.11,17.51
298.5,59.04,16.94
299.0,58.11,17.21
299.5,55.01,18.18
